experiment_id,condition,n,mean_kill_rate,sd_kill_rate,mean_survival,sd_survival,mean_kills,mean_damage,mean_ammo_eff,mean_latency_p99
DOE-027,ar_30,30,41.51442669194361,6.236442542471795,25.65619047619048,9.518193204417145,17.4,1740.0,0.0,0.001019433333333334
DOE-027,ar_40,30,38.18050370044663,5.142201759469644,24.702857142857145,9.679056956174636,15.433333333333334,1543.3333333333333,0.0,0.0010264000000000004
DOE-027,ar_50,30,40.032891762114375,5.316930459098303,24.493333333333332,11.485052387205378,16.133333333333333,1613.3333333333333,0.0,0.0012625000000000004
DOE-027,ar_60,30,40.491909721425415,5.85187864462273,23.0847619047619,8.82469340539788,15.4,1540.0,0.0,0.001056966666666667
DOE-027,ar_70,30,41.12066939636625,6.8527058630471425,22.986666666666665,8.651643486776647,15.433333333333334,1543.3333333333333,0.0,0.0010209333333333337
DOE-027,ar_80,30,41.98843126632763,4.3555586491082074,21.29238095238095,8.12374624838441,14.7,1470.0,0.0,0.0010029333333333337
DOE-028,cycle_10,30,38.40316199299833,6.687943235714347,25.138095238095236,8.220484132417916,15.766666666666667,1576.6666666666667,0.0,0.0009376000000000003
DOE-028,cycle_2,30,37.971416293468614,5.26016205524493,24.077142857142853,9.570006952729926,15.1,1510.0,0.0,0.0009874000000000003
DOE-028,cycle_3,30,38.38758430479695,5.499239471887976,24.716190476190476,7.190101622493112,15.7,1570.0,0.0,0.0010027666666666672
DOE-028,cycle_5,30,37.74381807611455,4.2348587464724305,28.14952380952381,9.091576270913796,17.6,1760.0,0.0,0.0009694333333333336
DOE-028,random_50,30,40.342437435702394,5.315165603848163,23.04095238095238,6.638325943695504,15.533333333333333,1553.3333333333333,0.0,0.0010722333333333333
DOE-029,attack_ovr,30,37.58511340748728,6.195930414108686,16.874285714285715,7.4151132353290174,10.0,1000.0,0.0,0.001072266666666667
DOE-029,attack_raw,30,44.03197474453667,4.0015780064206705,13.662857142857142,3.869346867295705,9.9,990.0,0.0,0.0004821333333333334
DOE-029,rand50_ovr,30,41.11260624081827,5.00750697902596,23.73428571428571,8.835218853463653,16.133333333333333,1613.3333333333333,0.0,0.0016250666666666675
DOE-029,rand50_raw,30,43.288333487206536,5.167140276626174,25.098095238095237,9.989660195120791,17.866666666666667,1786.6666666666667,0.0,0.0010626000000000006
DOE-030,move_sk1,30,36.247754559838874,4.934190469516807,41.440000000000005,11.925059451739257,24.666666666666668,2466.6666666666665,0.0,0.001197333333333334
DOE-030,move_sk2,30,40.26425822168312,5.72161554046377,24.184761904761903,5.991158079610447,16.1,1610.0,0.0,0.001031966666666667
DOE-030,move_sk3,30,40.26425822168312,5.72161554046377,24.184761904761903,5.991158079610447,16.1,1610.0,0.0,0.0010778000000000005
DOE-030,move_sk4,30,40.26425822168312,5.72161554046377,24.184761904761903,5.991158079610447,16.1,1610.0,0.0,0.001027866666666667
DOE-030,move_sk5,30,58.6943020358061,8.693912686204193,5.551428571428572,1.5175473749397375,5.5,550.0,0.0,0.001088766666666667
